project,description,version,developers,url,year,licenses,license urls,dependency
Android Support Library loader,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.loader:loader:1.0.0
Android Support Library Local Broadcast Manager,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.localbroadcastmanager:localbroadcastmanager:1.0.0
Android Support Library media compat,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.media:media:1.0.0
Android Support Library Print,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.print:print:1.0.0
Android Support Library Sliding Pane Layout,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.slidingpanelayout:slidingpanelayout:1.0.0
Android Support Library v4,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.legacy:legacy-support-v4:1.0.0
Android Support Library View Pager,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.viewpager:viewpager:1.0.0
Android Support RecyclerView v7,Android Support RecyclerView v7,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2014,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.recyclerview:recyclerview:1.1.0
Android Support SQLite - Framework Implementation,The implementation of Support SQLite library using the framework code.,2.0.1,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.sqlite:sqlite-framework:2.0.1
Android Support VectorDrawable,Android Support VectorDrawable,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.vectordrawable:vectordrawable:1.1.0
Android Tracing,Android Tracing,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/tracing#1.0.0,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.tracing:tracing:1.0.0
Android Transition Support Library,Android Transition Support Library,1.3.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2016,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.transition:transition:1.3.0
AndroidX Preference,AndroidX Preference,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.preference:preference:1.1.0
AndroidX Widget ViewPager2,AndroidX Widget ViewPager2,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.viewpager2:viewpager2:1.0.0
AppIntro,Make a cool intro for your Android app.,6.1.0,"Paolo Rotolo,Nicola Corti",git://github.com/AppIntro/AppIntro.git,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.github.AppIntro:AppIntro:6.1.0
Collections Kotlin Extensions,Kotlin extensions for 'collection' artifact,1.1.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.collection:collection-ktx:1.1.0
Core Kotlin Extensions,Kotlin extensions for 'core' artifact,1.1.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core-ktx:1.1.0
Experimental annotation,Java annotation for use on unstable Android API surfaces. When used in conjunction with the Experimental annotation lint checks, this annotation provides functional parity with Kotlin's Experimental annotation.,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation-experimental:1.0.0
Fragment Kotlin Extensions,Kotlin extensions for 'fragment' artifact,1.2.4,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.fragment:fragment-ktx:1.2.4
Gson,null,2.8.6,null,null,null,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.code.gson:gson:2.8.6
IntelliJ IDEA Annotations,A set of annotations used for code inspection support and code documentation.,13.0,JetBrains Team,http://www.jetbrains.org,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains:annotations:13.0
Kotlin Stdlib,Kotlin Standard Library for JVM,1.4.32,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib:1.4.32
Kotlin Stdlib Common,Kotlin Common Standard Library,1.4.32,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-common:1.4.32
Kotlin Stdlib Jdk7,Kotlin Standard Library JDK 7 extension,1.4.32,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.4.32
kotlinx-coroutines-android,Coroutines support libraries for Kotlin,1.4.1,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,null,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-android:1.4.1
kotlinx-coroutines-core,Coroutines support libraries for Kotlin,1.4.1,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,null,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.4.1
LiveData Core Kotlin Extensions,Kotlin extensions for 'livedata-core' artifact,2.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata-core-ktx:2.2.0
LiveData Kotlin Extensions,Kotlin extensions for 'livedata' artifact,2.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata-ktx:2.2.0
Material Components for Android,Material Components for Android is a static library that you can add to your Android application in order to use APIs that provide implementations of the Material Design specification. Compatible on devices running API 14 or later.,1.4.0,The Android Open Source Project,https://github.com/material-components/material-components-android,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.android.material:material:1.4.0
SavedState Kotlin Extensions,Kotlin extensions for 'savedstate' artifact,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/savedstate#1.1.0,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.savedstate:savedstate-ktx:1.1.0
VersionedParcelable,Provides a stable but relatively compact binary serialization format that can be passed across processes or persisted safely.,1.1.1,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.versionedparcelable:versionedparcelable:1.1.1
ZXing Core,Core barcode encoding/decoding library,3.4.1,null,null,null,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.google.zxing:core:3.4.1
zxing-android-embedded,null,3.6.0,null,null,null,null,null,com.journeyapps:zxing-android-embedded:3.6.0
